trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
154,False,"{'a': 0.5, 'e': 0.8572720210114575}",30,0,-111.43525667088561,"{0: 20, 1: 1, 2: 7, 3: 1, 4: 1}",0
155,False,"{'a': 0.5, 'e': 0.8564151774836135}",20,0,-54.63972268447812,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
156,False,"{'a': 0.5, 'e': 0.8555591903710185}",25,2,-66.90001047499342,"{0: 17, 1: 0, 2: 5, 3: 0, 4: 1}",1
157,False,"{'a': 0.5, 'e': 0.8547040588176851}",20,0,-82.49454826944825,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
158,False,"{'a': 0.5, 'e': 0.8538497819684817}",30,13,14.55802174071713,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 0}",1
159,False,"{'a': 0.5, 'e': 0.8529963589691315}",25,0,-155.99101130075528,"{0: 16, 1: 1, 2: 5, 3: 0, 4: 3}",0
160,False,"{'a': 0.5, 'e': 0.8521437889662113}",20,6,-46.24531787672326,"{0: 8, 1: 0, 2: 6, 3: 0, 4: 0}",1
161,False,"{'a': 0.5, 'e': 0.8512920711071511}",25,0,-61.18222604156557,"{0: 20, 1: 1, 2: 2, 3: 1, 4: 1}",1
162,False,"{'a': 0.5, 'e': 0.850441204540233}",20,0,-191.499784960116,"{0: 9, 1: 1, 2: 6, 3: 1, 4: 3}",0
163,False,"{'a': 0.5, 'e': 0.8495911884145902}",20,0,-150.88354877429975,"{0: 12, 1: 2, 2: 2, 3: 1, 4: 3}",0
164,False,"{'a': 0.5, 'e': 0.8487420218802068}",20,0,-118.10257664748585,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 3}",0
165,False,"{'a': 0.5, 'e': 0.8478937040879159}",20,0,-98.80358400567495,"{0: 11, 1: 4, 2: 3, 3: 1, 4: 1}",0
166,False,"{'a': 0.5, 'e': 0.8470462341893996}",20,0,-73.94907407948101,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
167,False,"{'a': 0.5, 'e': 0.8461996113371882}",20,6,-68.95289029227399,"{0: 9, 1: 2, 2: 1, 3: 1, 4: 1}",1
168,False,"{'a': 0.5, 'e': 0.8453538346846587}",30,0,-198.49807754442432,"{0: 19, 1: 2, 2: 5, 3: 0, 4: 4}",0
169,False,"{'a': 0.5, 'e': 0.8445089033860343}",30,1,-147.04814535911902,"{0: 17, 1: 3, 2: 7, 3: 0, 4: 2}",1
170,False,"{'a': 0.5, 'e': 0.8436648165963837}",20,0,-159.95104602342732,"{0: 9, 1: 2, 2: 6, 3: 1, 4: 2}",0
171,False,"{'a': 0.5, 'e': 0.8428215734716199}",30,0,-164.5265541170448,"{0: 18, 1: 2, 2: 6, 3: 2, 4: 2}",0
172,False,"{'a': 0.5, 'e': 0.8419791731684999}",25,3,-170.11904533624568,"{0: 12, 1: 1, 2: 4, 3: 3, 4: 2}",1
173,False,"{'a': 0.5, 'e': 0.8411376148446232}",25,0,-1.6086501014245986,"{0: 21, 1: 2, 2: 2, 3: 0, 4: 0}",0
174,False,"{'a': 0.5, 'e': 0.8402968976584314}",30,0,-53.920867215975356,"{0: 23, 1: 3, 2: 3, 3: 0, 4: 1}",0
175,False,"{'a': 0.5, 'e': 0.8394570207692074}",25,0,-94.73039123713146,"{0: 15, 1: 2, 2: 5, 3: 3, 4: 0}",0
176,False,"{'a': 0.5, 'e': 0.838617983337074}",25,0,-49.550612058022615,"{0: 18, 1: 1, 2: 5, 3: 1, 4: 0}",0
177,False,"{'a': 0.5, 'e': 0.8377797845229938}",25,0,-51.083084946807446,"{0: 17, 1: 4, 2: 3, 3: 1, 4: 0}",0
178,False,"{'a': 0.5, 'e': 0.8369424234887681}",25,0,-23.305354260419712,"{0: 19, 1: 1, 2: 5, 3: 0, 4: 0}",0
179,False,"{'a': 0.5, 'e': 0.8361058993970355}",25,0,-56.7883436516558,"{0: 15, 1: 5, 2: 5, 3: 0, 4: 0}",0
180,False,"{'a': 0.5, 'e': 0.835270211411272}",25,0,-127.59375873716738,"{0: 17, 1: 1, 2: 4, 3: 1, 4: 2}",0
181,False,"{'a': 0.5, 'e': 0.8344353586957896}",25,0,-84.0402828821917,"{0: 18, 1: 1, 2: 4, 3: 1, 4: 1}",0
